Time resolution is 1 ps
--------------------
Printing Register Contents: 
reg_file [0] = x
reg_file [1] = 0
reg_file [2] = 6
reg_file [3] = 5
reg_file [4] = 1
reg_file [5] = 255
reg_file [6] = x
reg_file [7] = x
--------------------
Printing Data Memory Contents: 
data_mem [1] = 1
data_mem [2] = 2
data_mem [3] = 3
data_mem [4] = 4
data_mem [5] = 5
data_mem [6] = 6
data_mem [7] = 7
data_mem [8] = 8
data_mem [9] = 9
data_mem [10] = 10
data_mem [11] = 11
data_mem [12] = 12
data_mem [13] = 13
data_mem [14] = 14
data_mem [15] = 15
data_mem [16] = 16
data_mem [17] = 17
data_mem [18] = 18
data_mem [19] = 19
data_mem [20] = 20
data_mem [21] = 21
data_mem [22] = 22
data_mem [23] = 23
data_mem [24] = 24
data_mem [25] = 25
data_mem [26] = 26
data_mem [27] = 27
data_mem [28] = 28
data_mem [29] = 29
data_mem [30] = 30
data_mem [31] = 31
data_mem [32] = 32
data_mem [33] = 33
data_mem [34] = 34
data_mem [35] = 35
data_mem [36] = 36
data_mem [37] = 37
data_mem [38] = 38
data_mem [39] = 39
data_mem [40] = 40
data_mem [41] = 41
data_mem [42] = 42
data_mem [43] = 43
data_mem [44] = 44
data_mem [45] = 45
data_mem [46] = 46
data_mem [47] = 47
data_mem [48] = 48
data_mem [49] = 49
data_mem [50] = 50
data_mem [51] = 51
data_mem [52] = 52
data_mem [53] = 53
data_mem [54] = 54
data_mem [55] = 55
data_mem [56] = 56
data_mem [57] = 57
data_mem [58] = 58
data_mem [59] = 59
data_mem [60] = 60
data_mem [61] = 61
data_mem [62] = 62
data_mem [63] = 63
data_mem [64] = 64
data_mem [65] = 65
data_mem [66] = 66
data_mem [67] = 67
data_mem [68] = 68
data_mem [69] = 69
data_mem [70] = 70
data_mem [71] = 71
data_mem [72] = 72
data_mem [73] = 73
data_mem [74] = 74
data_mem [75] = 75
data_mem [76] = 76
data_mem [77] = 77
data_mem [78] = 78
data_mem [79] = 79
data_mem [80] = 80
data_mem [81] = 81
data_mem [82] = 82
data_mem [83] = 83
data_mem [84] = 84
data_mem [85] = 85
data_mem [86] = 86
data_mem [87] = 87
data_mem [88] = 88
data_mem [89] = 89
data_mem [90] = 90
data_mem [91] = 91
data_mem [92] = 92
data_mem [93] = 93
data_mem [94] = 94
data_mem [95] = 95
data_mem [96] = 96
data_mem [97] = 97
data_mem [98] = 98
data_mem [99] = 99
data_mem [100] = 100
data_mem [101] = 101
data_mem [102] = 102
data_mem [103] = 103
data_mem [104] = 104
data_mem [105] = 105
data_mem [106] = 106
data_mem [107] = 107
data_mem [108] = 108
data_mem [109] = 109
data_mem [110] = 110
data_mem [111] = 111
data_mem [112] = 112
data_mem [113] = 113
data_mem [114] = 114
data_mem [115] = 115
data_mem [116] = 116
data_mem [117] = 117
data_mem [118] = 118
data_mem [119] = 119
data_mem [120] = 120
data_mem [121] = 121
data_mem [122] = 122
data_mem [123] = 123
data_mem [124] = 124
data_mem [125] = 125
data_mem [126] = 126
data_mem [127] = 127
data_mem [128] = 128
data_mem [129] = 129
data_mem [130] = 130
data_mem [131] = 131
data_mem [132] = 132
data_mem [133] = 133
data_mem [134] = 134
data_mem [135] = 135
data_mem [136] = 136
data_mem [137] = 137
data_mem [138] = 138
data_mem [139] = 139
data_mem [140] = 140
data_mem [141] = 141
data_mem [142] = 142
data_mem [143] = 143
data_mem [144] = 144
data_mem [145] = 145
data_mem [146] = 146
data_mem [147] = 147
data_mem [148] = 148
data_mem [149] = 149
data_mem [150] = 150
data_mem [151] = 151
data_mem [152] = 152
data_mem [153] = 153
data_mem [154] = 154
data_mem [155] = 155
data_mem [156] = 156
data_mem [157] = 157
data_mem [158] = 158
data_mem [159] = 159
data_mem [160] = 160
data_mem [161] = 161
data_mem [162] = 162
data_mem [163] = 163
data_mem [164] = 164
data_mem [165] = 165
data_mem [166] = 166
data_mem [167] = 167
data_mem [168] = 168
data_mem [169] = 169
data_mem [170] = 170
data_mem [171] = 171
data_mem [172] = 172
data_mem [173] = 173
data_mem [174] = 174
data_mem [175] = 175
data_mem [176] = 176
data_mem [177] = 177
data_mem [178] = 178
data_mem [179] = 179
data_mem [180] = 180
data_mem [181] = 181
data_mem [182] = 182
data_mem [183] = 183
data_mem [184] = 184
data_mem [185] = 185
data_mem [186] = 186
data_mem [187] = 187
data_mem [188] = 188
data_mem [189] = 189
data_mem [190] = 190
data_mem [191] = 191
data_mem [192] = 192
data_mem [193] = 193
data_mem [194] = 194
data_mem [195] = 195
data_mem [196] = 196
data_mem [197] = 197
data_mem [198] = 198
data_mem [199] = 199
data_mem [200] = 200
data_mem [201] = 201
data_mem [202] = 202
data_mem [203] = 203
data_mem [204] = 204
data_mem [205] = 205
data_mem [206] = 206
data_mem [207] = 207
data_mem [208] = 208
data_mem [209] = 209
data_mem [210] = 210
data_mem [211] = 211
data_mem [212] = 212
data_mem [213] = 213
data_mem [214] = 214
data_mem [215] = 215
data_mem [216] = 216
data_mem [217] = 217
data_mem [218] = 218
data_mem [219] = 219
data_mem [220] = 220
data_mem [221] = 221
data_mem [222] = 222
data_mem [223] = 223
data_mem [224] = 224
data_mem [225] = 225
data_mem [226] = 226
data_mem [227] = 227
data_mem [228] = 228
data_mem [229] = 229
data_mem [230] = 230
data_mem [231] = 231
data_mem [232] = 232
data_mem [233] = 233
data_mem [234] = 234
data_mem [235] = 235
data_mem [236] = 236
data_mem [237] = 237
data_mem [238] = 238
data_mem [239] = 239
data_mem [240] = 240
data_mem [241] = 241
data_mem [242] = 242
data_mem [243] = 243
data_mem [244] = 244
data_mem [245] = 245
data_mem [246] = 246
data_mem [247] = 247
data_mem [248] = 248
data_mem [249] = 249
data_mem [250] = 250
data_mem [251] = 251
data_mem [252] = 252
data_mem [253] = 253
data_mem [254] = 254
data_mem [255] = 255
data_mem [257] = 1
data_mem [258] = 2
data_mem [259] = 3
data_mem [260] = 4
data_mem [261] = 5
data_mem [262] = 6
data_mem [263] = 7
data_mem [264] = 8
data_mem [265] = 9
data_mem [266] = 10
data_mem [267] = 11
data_mem [268] = 12
data_mem [269] = 13
data_mem [270] = 14
data_mem [271] = 15
data_mem [272] = 16
data_mem [273] = 17
data_mem [274] = 18
data_mem [275] = 19
data_mem [276] = 20
data_mem [277] = 21
data_mem [278] = 22
data_mem [279] = 23
data_mem [280] = 24
data_mem [281] = 25
data_mem [282] = 26
data_mem [283] = 27
data_mem [284] = 28
data_mem [285] = 29
data_mem [286] = 30
data_mem [287] = 31
data_mem [288] = 32
data_mem [289] = 33
data_mem [290] = 34
data_mem [291] = 35
data_mem [292] = 36
data_mem [293] = 37
data_mem [294] = 38
data_mem [295] = 39
data_mem [296] = 40
data_mem [297] = 41
data_mem [298] = 42
data_mem [299] = 43
data_mem [300] = 44
data_mem [301] = 45
data_mem [302] = 46
data_mem [303] = 47
data_mem [304] = 48
data_mem [305] = 49
data_mem [306] = 50
data_mem [307] = 51
data_mem [308] = 52
data_mem [309] = 53
data_mem [310] = 54
data_mem [311] = 55
data_mem [312] = 56
data_mem [313] = 57
data_mem [314] = 58
data_mem [315] = 59
data_mem [316] = 60
data_mem [317] = 61
data_mem [318] = 62
data_mem [319] = 63
data_mem [320] = 64
data_mem [321] = 65
data_mem [322] = 66
data_mem [323] = 67
data_mem [324] = 68
data_mem [325] = 69
data_mem [326] = 70
data_mem [327] = 71
data_mem [328] = 72
data_mem [329] = 73
data_mem [330] = 74
data_mem [331] = 75
data_mem [332] = 76
data_mem [333] = 77
data_mem [334] = 78
data_mem [335] = 79
data_mem [336] = 80
data_mem [337] = 81
data_mem [338] = 82
data_mem [339] = 83
data_mem [340] = 84
